Time (ms)	Identifier	IDE	RTR	DLC	Byte 0	Byte 1	Byte 2	Byte 3	Byte 4	Byte 5	Byte 6	Byte 7
1550	00c0	0	0	8	0	0	0	0	0	0	0	0
1553	00d5	0	0	8	F2	3	0	0	0	0	0E	FC
1559	00ad	0	0	8	0	0	0	0	0	0	0	0
1570	00c0	0	0	8	0	0	0	0	0	0	0	0
1572	00dd	0	0	8	0	0	0	0	0	0	0	0
1574	00d3	0	0	8	E7	21	83	1E	E7	A1	97	1E
1581	00c0	0	0	8	0	0	0	0	0	0	0	0
1590	00c0	0	0	8	0	0	0	0	0	0	0	0
1593	00dd	0	0	8	0	0	0	0	0	0	0	0
1595	00d5	0	0	8	F2	3	0	0	0	0	0E	FC
1600	00c0	0	0	8	0	0	0	0	0	0	0	0
1604	00a3	0	0	8	E8	25	83	1E	E8	A5	A7	1E
1610	00c0	0	0	8	0	0	0	0	0	0	0	0
1614	00dd	0	0	8	0	0	0	0	0	0	0	0
1620	00c0	0	0	8	0	0	0	0	0	0	0	0
1623	00ac	0	0	8	0	0	1	0	62	DE	0B	0
1631	00c0	0	0	8	0	0	0	0	0	0	0	0
1636	00dd	0	0	8	FF	FF	0	0	0	0	0	0
1637	00d5	0	0	8	F3	3	0	0	0	0	0E	FC
1643	00ad	0	0	8	FF	FF	0	0	0	0	0	0
1647	00de	0	0	8	10	0	49	20	25	3	22	20
1650	00f0	0	0	8	0	0	0	0	0	0	0	0
1656	00dd	0	0	8	FF	FF	0	0	0	0	0	0
1660	00c0	0	0	8	0	0	0	0	0	0	0	0
1665	00ac	0	0	8	0	0	0	0	70	DE	0B	0
1671	00c0	0	0	8	0	0	0	0	0	0	0	0
1678	00dd	0	0	8	0	0	0	0	0	0	0	0
1679	00d5	0	0	8	F2	3	0	0	0	0	0E	FC
1685	00ad	0	0	8	FF	FF	0	0	0	0	0	0
1690	00c0	0	0	8	0	0	0	0	0	0	0	0
1698	00dd	0	0	8	FF	FF	0	0	0	0	0	0
1700	00d5	0	0	8	F2	3	0	0	0	0	0E	FC
1703	00ae	0	0	8	10	0	49	20	25	3	22	20
1708	00a8	0	0	8	13	0	AF	C9	0	0	0	0
1720	00dd	0	0	8	FF	FF	0	0	0	0	0	0
1721	00d6	0	0	8	FB	FF	FB	FF	F6	FF	0	0
1727	00ad	0	0	8	0	0	0	0	0	0	0	0
1729	00a5	0	0	8	58	1	0	0	0	0	A9	FE
1740	00c0	0	0	8	0	0	0	0	0	0	0	0
1742	00d6	0	0	8	2	0	FE	FF	4	0	0	0
1748	00ad	0	0	8	FF	FF	0	0	0	0	0	0
1751	00a5	0	0	8	58	1	0	0	0	0	A9	FE
1761	00c0	0	0	8	0	0	0	0	0	0	0	0
1762	00db	0	0	8	0	0	0	0	0	0	0	0
1770	00ad	0	0	8	0	0	0	0	0	0	0	0
1771	00a5	0	0	8	58	1	0	0	0	0	A9	FE
1780	00c0	0	0	8	0	0	0	0	0	0	0	0
1782	00dd	0	0	8	FF	FF	0	0	0	0	0	0
1785	00d3	0	0	8	E7	21	83	1E	E7	A1	87	1E
1790	00c0	0	0	8	0	0	0	0	0	0	0	0
1801	00c0	0	0	8	0	0	0	0	0	0	0	0
1804	00dd	0	0	8	FF	FF	0	0	0	0	0	0
1806	00d5	0	0	8	F2	3	0	0	0	0	0E	FC
1811	00c0	0	0	8	0	0	0	0	0	0	0	0
1820	00c0	0	0	8	0	0	0	0	0	0	0	0
1825	00dd	0	0	8	FF	FF	0	0	0	0	0	0
1826	00d5	0	0	8	F2	3	0	0	0	0	0E	FC
1830	00c0	0	0	8	0	0	0	0	0	0	0	0
1835	00a5	0	0	8	57	1	0	0	0	0	A9	FE
1841	00c0	0	0	8	0	0	0	0	0	0	0	0
1846	00dd	0	0	8	FF	FF	0	0	0	0	0	0
1851	00c0	0	0	8	0	0	0	0	0	0	0	0
1854	00ad	0	0	8	0	0	0	0	0	0	0	0
1861	00c0	0	0	8	0	0	0	0	0	0	0	0
1867	00dd	0	0	8	FF	FF	0	0	0	0	0	0
1868	00d5	0	0	8	F3	3	0	0	0	0	0E	FC
1874	00ad	0	0	8	0	0	0	0	0	0	0	0
1876	00a5	0	0	8	58	1	0	0	0	0	A9	FE
1881	00f0	0	0	8	0	0	0	0	0	0	0	0
1888	00dd	0	0	8	0	0	0	0	0	0	0	0
1891	00c0	0	0	8	0	0	0	0	0	0	0	0
1896	00ad	0	0	8	FF	FF	0	0	0	0	0	0
1901	00c0	0	0	8	0	0	0	0	0	0	0	0
1908	00ae	0	0	8	10	0	49	20	25	3	22	20
1909	00db	0	0	8	0	0	0	0	0	0	0	0
1917	00ad	0	0	8	FF	FF	0	0	0	0	0	0
1918	00a5	0	0	8	58	1	0	0	0	0	A9	FE
1930	00dd	0	0	8	0	0	0	0	0	0	0	0
1932	00d6	0	0	8	FB	FF	1	0	FC	FF	0	0
1938	00ad	0	0	8	0	0	0	0	0	0	0	0
1940	00a5	0	0	8	58	1	0	0	0	0	A9	FE
1951	00c0	0	0	8	0	0	0	0	0	0	0	0
1952	00d6	0	0	8	FE	FF	F6	FF	0	0	0	0
1955	00d0	0	0	8	D6	0	D8	0	D7	0	19	1
1960	00a8	0	0	8	13	0	AF	C9	1	0	0	0
1971	00c0	0	0	8	0	0	0	0	0	0	0	0
1973	00db	0	0	8	0	0	0	0	0	0	0	0
1980	00ad	0	0	8	0	0	0	0	0	0	0	0
1982	00a5	0	0	8	58	1	0	0	0	0	A9	FE
1991	00c0	0	0	8	0	0	0	0	0	0	0	0
1993	00dd	0	0	8	0	0	0	0	0	0	0	0
1995	00d3	0	0	8	E8	21	83	1E	E8	A5	87	1E
2001	00c0	0	0	8	0	0	0	0	0	0	0	0
2010	00ae	0	0	8	10	0	49	20	25	3	22	20
2015	00dd	0	0	8	0	0	0	0	0	0	0	0
2016	00d5	0	0	8	F2	3	0	0	0	0	0E	FC
2021	00c0	0	0	8	0	0	0	0	0	0	0	0
2024	00a6	0	0	8	0	0	2	0	3	0	0	0
2031	00c0	0	0	8	0	0	0	0	0	0	0	0
2035	00dd	0	0	8	FF	FF	0	0	0	0	0	0
2041	00c0	0	0	8	0	0	0	0	0	0	0	0
2043	00ad	0	0	8	FF	FF	0	0	0	0	0	0
2050	01b5	0	0	8	0	4	0	0	0	26	0	0
2052	01b8	0	0	8	0	0	0	0	0	0	0	0
2057	00dd	0	0	8	FF	FF	0	0	0	0	0	0
2061	00c0	0	0	8	0	0	0	0	0	0	0	0
2066	00a6	0	0	8	FE	FF	FB	FF	FB	FF	0	0
2071	00c0	0	0	8	0	0	0	0	0	0	0	0
2077	00dd	0	0	8	FF	FF	0	0	0	0	0	0
2080	7	0	0	4	EB	1	D8	0				
2085	00ad	0	0	8	0	0	0	0	0	0	0	0
2092	00c0	0	0	8	0	0	0	0	0	0	0	0
2099	00dd	0	0	8	0	0	0	0	0	0	0	0
2100	00d5	0	0	8	F2	3	0	0	0	0	0E	FC
2106	00ad	0	0	8	0	0	0	0	0	0	0	0
2108	00a5	0	0	8	58	1	0	0	0	0	A9	FE
2112	00ae	0	0	8	10	0	49	20	25	3	22	20
2119	00dd	0	0	8	0	0	0	0	0	0	0	0
2121	00c0	0	0	8	0	0	0	0	0	0	0	0
2127	00ad	0	0	8	0	0	0	0	0	0	0	0
2131	00c0	0	0	8	0	0	0	0	0	0	0	0
2141	00dd	0	0	8	FF	FF	0	0	0	0	0	0
2143	00d6	0	0	8	3	0	8	0	4	0	0	0
2149	00ad	0	0	8	FF	FF	0	0	0	0	0	0
2150	00a5	0	0	8	58	1	0	0	0	0	A9	FE
2158	00de	0	0	8	10	0	49	20	25	3	22	20
2161	00c0	0	0	8	0	0	0	0	0	0	0	0
2163	00d4	0	0	8	0	0	0	0	0	0	0	0
2169	00ad	0	0	8	0	0	0	0	0	0	0	0
2177	8	0	0	2	EB	FF						
2182	00c0	0	0	8	0	0	0	0	0	0	0	0
2183	00db	0	0	8	0	0	0	0	0	0	0	0
2191	00ad	0	0	8	1	0	0	0	0	0	0	0
2192	00a5	0	0	8	56	1	0	0	0	0	A9	FE
2201	00c0	0	0	8	0	0	0	0	0	0	0	0
2204	00dd	0	0	8	0	0	0	0	0	0	0	0
2206	00d3	0	0	8	E8	21	73	1E	E7	A1	87	1E
2211	00c0	0	0	8	0	0	0	0	0	0	0	0
2215	00a1	0	0	8	15	1	3	8	16	8	F0	D8
2222	00c0	0	0	8	0	0	0	0	0	0	0	0
2225	00dd	0	0	8	FF	FF	0	0	0	0	0	0
2232	00c0	0	0	8	0	0	0	0	0	0	0	0
2234	00a7	0	0	8	6	0	0	0	18	0	3	0
2242	00c0	0	0	8	0	0	0	0	0	0	0	0
2246	00dd	0	0	8	FF	FF	0	0	0	0	0	0
2248	00d3	0	0	8	E7	21	83	1E	E7	A1	87	1E
2253	00ad	0	0	8	FF	FF	0	0	0	0	0	0
2260	00de	0	0	8	10	0	49	20	25	3	22	20
2267	00dd	0	0	8	FF	FF	0	0	0	0	0	0
2269	00d5	0	0	8	F2	3	0	0	0	0	0E	FC
2272	00c0	0	0	8	0	0	0	0	0	0	0	0
2276	00a7	0	0	8	6	0	0	0	6	0	3	0
2282	00c0	0	0	8	0	0	0	0	0	0	0	0
2288	00dd	0	0	8	1	0	0	0	0	0	0	0
2290	00d3	0	0	8	E7	25	73	1E	E7	A5	97	1E
2295	00ad	0	0	8	0	0	0	0	0	0	0	0
2301	00c0	0	0	8	0	0	0	0	0	0	0	0
2309	00dd	0	0	8	0	0	0	0	0	0	0	0
2311	00d5	0	0	8	F2	3	0	0	0	0	0E	FC
2317	00ad	0	0	8	0	0	0	0	0	0	0	0
